,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,id,host_name,host_response_time,host_response_rate,host_is_superhost,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
0,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1.0,1.0,70,1.0,135.0,1003530,Greta,within an hour,100.0,1,10.0,9.0,10.0,10.0,10.0,10.0,94.0
1,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1.0,2.0,29,1.0,121.0,10133554,Mehmet Emin,within a few hours,100.0,0,9.0,9.0,10.0,10.0,10.0,9.0,92.0
2,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1.0,2.0,3,1.0,699.0,10059872,Giovanni,,,0,10.0,10.0,10.0,10.0,10.0,8.0,100.0
3,City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1.0,1.0,81,1.0,181.0,10084023,Yi,within an hour,100.0,0,10.0,8.0,10.0,10.0,10.0,10.0,92.0
4,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0.0,1.0,64,1.0,181.0,10091713,Ben,,,0,10.0,9.0,10.0,10.0,10.0,9.0,95.0
5,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,0,1.0,40.0,10112159,Elisabete,,,0,,,,,,,
6,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1.0,1,1.0,145.0,10096773,Scott,,,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
7,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1.0,1.0,239,1.0,45.0,10140368,Lane,within an hour,100.0,1,10.0,10.0,10.0,10.0,9.0,10.0,95.0
8,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1.0,1.0,1,1.5,40.0,10021707,Josh,,,0,10.0,10.0,10.0,10.0,8.0,8.0,100.0
9,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1.0,3.0,70,2.0,119.0,10038496,Ana Valéria,within an hour,100.0,1,10.0,10.0,10.0,10.0,10.0,10.0,98.0
